Tower Type,Bundle Type,Conductor Type,Impedance,Admittance,A,B,C,D,Vs,Is,Vr (KV),Vr angle (Degrees),Ir (A),Ir angle (Degrees),Cost (Million $),Real Power loss (%),Thermal limit surpassed,Current limit (Summer),Current limit (Winter),Stability limit (MVA),Stability limit angle,Dynamic Stability limit (MVA),Dynamic Stability limit angle
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.056+0.251j),4.375111654726636e-06j,(0.972+0.006j),(12.467+56.434j),(-0+0.001j),(0.972+0.006j),132.0,699.8,125.7,-17.9,691.9,-10.5,50.8,6.69,True,299,875,228.05,77.5,164.81,38.8
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.037+0.226j),4.850106164457482e-06j,(0.972+0.005j),(8.311+50.897j),(-0+0.001j),(0.972+0.005j),132.0,699.8,127.4,-16.0,694.7,-11.7,59.7,4.47,True,299,875,275.31,80.7,197.71,40.4
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.037+0.211j),5.197440831920063e-06j,(0.972+0.005j),(8.311+47.497j),(-0+0.001j),(0.972+0.005j),132.0,699.8,126.7,-14.9,696.9,-12.5,61.1,4.48,True,299,875,289.5,80.1,208.19,40.0
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.028+0.199j),5.5029209942256775e-06j,(0.972+0.004j),(6.234+44.856j),(-0+0.001j),(0.972+0.004j),132.0,699.8,127.7,-14.0,699.0,-13.3,69.2,3.37,False,299,875,322.66,82.1,231.17,41.0
Tower Type A1,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.071+0.352j),3.1186849362318125e-06j,(0.972+0.006j),(15.897+79.164j),(-0+0.001j),(0.972+0.006j),132.0,699.8,129.3,-25.0,686.0,-7.4,42.9,8.48,True,405,997,170.59,78.6,122.74,39.3
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.036+0.253j),4.341058981694303e-06j,(0.972+0.004j),(7.949+56.861j),(-0+0.001j),(0.972+0.004j),132.0,699.8,128.9,-17.7,691.9,-10.5,54.7,4.26,True,405,997,256.2,82.0,183.47,41.0
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.036+0.244j),4.501997144985102e-06j,(0.972+0.004j),(7.949+54.829j),(-0+0.001j),(0.972+0.004j),132.0,699.8,128.4,-17.1,692.8,-10.9,55.3,4.27,True,405,997,263.26,81.8,188.64,40.9
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.024+0.222j),4.953280217015424e-06j,(0.972+0.003j),(5.299+49.829j),(-0+0.001j),(0.972+0.003j),132.0,699.8,129.3,-15.5,695.5,-12.0,66.4,2.85,False,405,997,305.23,83.9,217.91,42.0
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.024+0.206j),5.316102164005732e-06j,(0.972+0.003j),(5.299+46.429j),(-0+0.001j),(0.972+0.003j),132.0,699.8,128.6,-14.4,697.8,-12.9,67.8,2.86,False,405,997,323.2,83.5,230.95,41.7
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.018+0.196j),5.602219103226575e-06j,(0.972+0.003j),(3.974+44.056j),(-0+0.001j),(0.972+0.003j),132.0,699.8,129.2,-13.7,699.9,-13.6,78.2,2.15,False,405,997,351.52,84.8,250.62,42.4
Tower Type A1,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.05+0.341j),3.2224902967509506e-06j,(0.972+0.004j),(11.082+76.599j),(-0+0.001j),(0.972+0.004j),132.0,699.8,131.7,-23.8,686.6,-7.8,45.6,5.91,True,495,1224,192.51,81.8,137.72,40.9
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.025+0.247j),4.440614520198643e-06j,(0.972+0.003j),(5.541+55.581j),(-0+0.001j),(0.972+0.003j),132.0,699.8,130.2,-17.2,692.5,-10.8,60.1,2.97,False,495,1224,277.64,84.3,198.04,42.2
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.025+0.238j),4.609162371815347e-06j,(0.972+0.003j),(5.541+53.549j),(-0+0.001j),(0.972+0.003j),132.0,699.8,129.8,-16.6,693.5,-11.2,60.8,2.98,False,495,1224,286.08,84.1,204.15,42.0
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.017+0.218j),5.03921947042116e-06j,(0.972+0.002j),(3.694+48.977j),(-0+0.001j),(0.972+0.002j),132.0,699.8,130.2,-15.1,696.2,-12.3,74.6,1.99,False,495,1224,323.99,85.7,230.63,42.8
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.017+0.203j),5.415218376692445e-06j,(0.972+0.002j),(3.694+45.576j),(-0+0.001j),(0.972+0.002j),132.0,699.8,129.6,-14.1,698.6,-13.2,76.0,1.99,False,495,1224,344.47,85.4,245.36,42.7
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.012+0.193j),5.684451956469492e-06j,(0.972+0.002j),(2.77+43.417j),(-0+0.001j),(0.972+0.002j),132.0,699.8,129.9,-13.4,700.5,-13.8,89.1,1.5,False,495,1224,369.41,86.3,262.71,43.2
Tower Type A2,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.609+0.432j),2.539591335873495e-06j,(0.972+0.04j),(135.746+99.001j),(-0+0.001j),(0.972+0.04j),132.0,699.8,72.2,-62.6,682.6,-4.0,40.6,72.18,True,110,308,31.64,36.1,28.85,18.1
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.305+0.299j),3.6659732326133328e-06j,(0.972+0.029j),(67.875+67.977j),(-0+0.001j),(0.972+0.029j),132.0,699.8,91.9,-28.5,686.8,-7.4,46.9,36.24,True,110,308,64.14,45.0,54.51,22.5
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.305+0.29j),3.780090029162843e-06j,(0.972+0.029j),(67.875+65.966j),(-0+0.001j),(0.972+0.029j),132.0,699.8,91.2,-27.6,687.3,-7.7,47.6,36.25,True,110,308,64.15,44.2,54.82,22.1
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.203+0.257j),4.2721388058089785e-06j,(0.972+0.022j),(45.25+58.108j),(-0+0.001j),(0.972+0.022j),132.0,699.8,103.7,-21.3,690.0,-9.3,53.3,24.23,True,110,308,96.13,52.1,77.25,26.0
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.203+0.242j),4.539344580389231e-06j,(0.972+0.024j),(45.25+54.729j),(-0+0.001j),(0.972+0.024j),132.0,699.8,102.8,-20.0,691.3,-9.9,54.6,24.26,True,110,308,96.24,50.4,78.04,25.2
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.152+0.226j),4.864449831231781e-06j,(0.972+0.019j),(33.938+50.952j),(-0+0.001j),(0.972+0.019j),132.0,699.8,109.7,-17.6,693.5,-10.9,59.6,18.23,True,110,308,127.53,56.3,99.53,28.2
Tower Type A2,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.186+0.395j),2.7796226948236015e-06j,(0.972+0.013j),(41.386+88.971j),(-0+0.001j),(0.972+0.013j),132.0,699.8,116.3,-31.4,684.4,-6.1,42.2,22.04,True,216,636,98.3,65.1,73.76,32.5
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.093+0.281j),3.909650806437302e-06j,(0.972+0.009j),(20.693+63.189j),(-0+0.001j),(0.972+0.009j),132.0,699.8,121.7,-20.7,689.2,-9.1,50.2,11.07,True,216,636,172.23,71.9,126.27,35.9
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.093+0.272j),4.039711621790552e-06j,(0.972+0.01j),(20.693+61.159j),(-0+0.001j),(0.972+0.01j),132.0,699.8,121.1,-20.1,689.9,-9.4,50.9,11.08,True,216,636,174.81,71.3,128.39,35.7
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.062+0.244j),4.489530698635078e-06j,(0.972+0.007j),(13.796+55.004j),(-0+0.001j),(0.972+0.007j),132.0,699.8,124.4,-17.6,692.4,-10.7,58.2,7.4,True,216,636,223.21,75.9,161.94,38.0
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.062+0.229j),4.785564609711747e-06j,(0.972+0.008j),(13.796+51.605j),(-0+0.001j),(0.972+0.008j),132.0,699.8,123.7,-16.5,694.1,-11.4,59.5,7.41,True,216,636,231.71,75.0,168.48,37.5
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.046+0.216j),5.0742792610099525e-06j,(0.972+0.006j),(10.347+48.657j),(-0+0.001j),(0.972+0.006j),132.0,699.8,125.5,-15.4,696.0,-12.1,66.1,5.57,True,216,636,267.2,78.0,192.98,39.0
Tower Type A2,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.112+0.379j),2.8963985284401345e-06j,(0.972+0.008j),(24.934+85.276j),(-0+0.001j),(0.972+0.008j),132.0,699.8,125.4,-27.9,685.1,-6.7,43.8,13.28,True,299,875,136.6,73.7,99.39,36.9
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.056+0.273j),4.023740590288976e-06j,(0.972+0.006j),(12.467+61.358j),(-0+0.001j),(0.972+0.006j),132.0,699.8,126.8,-19.4,690.1,-9.6,53.3,6.67,True,299,875,216.16,78.5,155.84,39.3
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.056+0.264j),4.161636786518278e-06j,(0.972+0.006j),(12.467+59.327j),(-0+0.001j),(0.972+0.006j),132.0,699.8,126.3,-18.8,690.8,-10.0,54.0,6.68,True,299,875,220.9,78.1,159.41,39.1
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.037+0.239j),4.589144668605896e-06j,(0.972+0.004j),(8.311+53.789j),(-0+0.001j),(0.972+0.004j),132.0,699.8,128.0,-16.8,693.2,-11.1,62.9,4.46,True,299,875,264.38,81.2,189.65,40.6
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.037+0.224j),4.898914364853833e-06j,(0.972+0.005j),(8.311+50.39j),(-0+0.001j),(0.972+0.005j),132.0,699.8,127.3,-15.8,695.0,-11.8,64.2,4.47,True,299,875,277.33,80.6,199.2,40.3
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.028+0.212j),5.1693973460139205e-06j,(0.972+0.004j),(6.234+47.749j),(-0+0.001j),(0.972+0.004j),132.0,699.8,128.2,-14.9,696.8,-12.5,72.4,3.36,False,299,875,307.28,82.6,219.93,41.3
Tower Type A2,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.071+0.365j),3.008672970122985e-06j,(0.972+0.005j),(15.897+82.056j),(-0+0.001j),(0.972+0.005j),132.0,699.8,130.2,-25.8,685.6,-7.2,46.1,8.47,True,405,997,167.0,79.0,120.02,39.5
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.036+0.266j),4.130814401780984e-06j,(0.972+0.004j),(7.949+59.754j),(-0+0.001j),(0.972+0.004j),132.0,699.8,129.5,-18.6,690.8,-10.0,57.8,4.26,True,405,997,246.87,82.4,176.63,41.2
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.036+0.257j),4.27627988138631e-06j,(0.972+0.004j),(7.949+57.722j),(-0+0.001j),(0.972+0.004j),132.0,699.8,129.0,-18.0,691.5,-10.3,58.5,4.26,True,405,997,253.34,82.2,181.37,41.1
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.024+0.234j),4.681409182544531e-06j,(0.972+0.003j),(5.299+52.722j),(-0+0.001j),(0.972+0.003j),132.0,699.8,129.8,-16.3,693.9,-11.4,69.6,2.85,False,405,997,291.59,84.3,208.03,42.1
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.024+0.219j),5.004197952510292e-06j,(0.972+0.003j),(5.299+49.322j),(-0+0.001j),(0.972+0.003j),132.0,699.8,129.2,-15.3,695.9,-12.1,71.0,2.85,False,405,997,307.77,83.9,219.75,41.9
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.018+0.209j),5.256927873195806e-06j,(0.972+0.002j),(3.974+46.949j),(-0+0.001j),(0.972+0.002j),132.0,699.8,129.7,-14.5,697.5,-12.8,81.4,2.14,False,405,997,333.13,85.2,237.36,42.6
Tower Type A2,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.05+0.353j),3.1051707063079695e-06j,(0.972+0.004j),(11.082+79.492j),(-0+0.001j),(0.972+0.004j),132.0,699.8,132.5,-24.6,686.1,-7.5,48.8,5.91,True,495,1224,187.74,82.1,134.2,41.0
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.025+0.26j),4.220860170933272e-06j,(0.972+0.003j),(5.541+58.474j),(-0+0.001j),(0.972+0.003j),132.0,699.8,130.9,-18.1,691.3,-10.3,63.3,2.97,False,495,1224,266.57,84.6,190.02,42.3
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.025+0.251j),4.37285332025686e-06j,(0.972+0.003j),(5.541+56.442j),(-0+0.001j),(0.972+0.003j),132.0,699.8,130.4,-17.5,692.2,-10.6,64.0,2.97,False,495,1224,274.24,84.4,195.57,42.2
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.017+0.231j),4.75810039601443e-06j,(0.972+0.002j),(3.694+51.87j),(-0+0.001j),(0.972+0.002j),132.0,699.8,130.8,-16.0,694.4,-11.6,77.8,1.99,False,495,1224,308.57,85.9,219.54,43.0
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.017+0.216j),5.091928776152022e-06j,(0.972+0.002j),(3.694+48.47j),(-0+0.001j),(0.972+0.002j),132.0,699.8,130.1,-15.0,696.5,-12.4,79.2,1.99,False,495,1224,326.87,85.6,232.7,42.8
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.012+0.206j),5.32927086771666e-06j,(0.972+0.002j),(2.77+46.31j),(-0+0.001j),(0.972+0.002j),132.0,699.8,130.4,-14.3,698.1,-13.0,92.3,1.49,False,495,1224,349.08,86.6,248.15,43.3
Tower Type B1,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.609+0.425j),2.5838386906892727e-06j,(0.972+0.04j),(135.746+97.369j),(-0+0.001j),(0.972+0.04j),132.0,699.8,71.1,-62.1,682.7,-4.1,40.4,72.18,True,110,308,31.58,35.7,28.88,17.8
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.305+0.292j),3.7588928284601294e-06j,(0.972+0.029j),(67.875+66.33j),(-0+0.001j),(0.972+0.029j),132.0,699.8,91.3,-27.8,687.2,-7.6,46.7,36.25,True,110,308,64.15,44.3,54.76,22.2
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.305+0.283j),3.878962597219783e-06j,(0.972+0.03j),(67.875+64.319j),(-0+0.001j),(0.972+0.03j),132.0,699.8,90.6,-26.9,687.6,-7.9,47.4,36.27,True,110,308,64.16,43.5,55.07,21.7
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.203+0.249j),4.3988582926442925e-06j,(0.972+0.023j),(45.25+56.454j),(-0+0.001j),(0.972+0.023j),132.0,699.8,103.3,-20.7,690.6,-9.6,53.0,24.25,True,110,308,96.2,51.3,77.64,25.6
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.203+0.234j),4.682677340496768e-06j,(0.972+0.024j),(45.25+53.077j),(-0+0.001j),(0.972+0.024j),132.0,699.8,102.4,-19.4,692.0,-10.2,54.4,24.28,True,110,308,96.24,49.6,78.4,24.8
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.152+0.218j),5.029421686258565e-06j,(0.972+0.02j),(33.938+49.295j),(-0+0.001j),(0.972+0.02j),132.0,699.8,109.3,-17.0,694.4,-11.3,59.4,18.25,True,110,308,127.85,55.5,100.17,27.7
Tower Type B1,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.186+0.387j),2.8327168972285187e-06j,(0.972+0.013j),(41.386+87.311j),(-0+0.001j),(0.972+0.013j),132.0,699.8,115.7,-30.9,684.6,-6.3,42.0,22.04,True,216,636,98.71,64.6,74.22,32.3
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.093+0.273j),4.0155120477312335e-06j,(0.972+0.01j),(20.693+61.526j),(-0+0.001j),(0.972+0.01j),132.0,699.8,121.2,-20.2,689.7,-9.4,50.0,11.08,True,216,636,174.34,71.4,128.0,35.7
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.093+0.264j),4.1528352016030125e-06j,(0.972+0.01j),(20.693+59.496j),(-0+0.001j),(0.972+0.01j),132.0,699.8,120.7,-19.5,690.4,-9.7,50.7,11.08,True,216,636,176.97,70.8,130.17,35.4
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.062+0.237j),4.629686343379485e-06j,(0.972+0.007j),(13.796+53.341j),(-0+0.001j),(0.972+0.007j),132.0,699.8,124.1,-17.0,693.2,-11.0,58.0,7.41,True,216,636,227.29,75.5,165.07,37.7
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.062+0.222j),4.9451414956005e-06j,(0.972+0.008j),(13.796+49.942j),(-0+0.001j),(0.972+0.008j),132.0,699.8,123.4,-16.0,695.0,-11.7,59.3,7.42,True,216,636,236.09,74.6,171.87,37.3
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.046+0.209j),5.254053275215045e-06j,(0.972+0.006j),(10.347+46.993j),(-0+0.001j),(0.972+0.006j),132.0,699.8,125.2,-14.8,697.1,-12.6,65.9,5.58,True,216,636,273.42,77.6,197.66,38.8
Tower Type B1,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.112+0.372j),2.9540938618574357e-06j,(0.972+0.008j),(24.934+83.614j),(-0+0.001j),(0.972+0.008j),132.0,699.8,124.8,-27.4,685.3,-6.9,43.6,13.29,True,299,875,137.8,73.4,100.37,36.7
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.056+0.265j),4.135959044669734e-06j,(0.972+0.006j),(12.467+59.695j),(-0+0.001j),(0.972+0.006j),132.0,699.8,126.4,-18.9,690.6,-9.9,53.1,6.68,True,299,875,220.02,78.2,158.75,39.1
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.056+0.256j),4.2817934801743536e-06j,(0.972+0.006j),(12.467+57.663j),(-0+0.001j),(0.972+0.006j),132.0,699.8,125.9,-18.3,691.4,-10.2,53.8,6.68,True,299,875,224.95,77.8,162.47,38.9
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.037+0.232j),4.735690385091749e-06j,(0.972+0.005j),(8.311+52.126j),(-0+0.001j),(0.972+0.005j),132.0,699.8,127.6,-16.3,694.1,-11.4,62.7,4.47,True,299,875,270.55,80.9,194.19,40.5
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.037+0.217j),5.066272358331339e-06j,(0.972+0.005j),(8.311+48.726j),(-0+0.001j),(0.972+0.005j),132.0,699.8,127.0,-15.3,696.1,-12.2,64.0,4.48,True,299,875,284.2,80.3,204.27,40.2
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.028+0.205j),5.356098298432733e-06j,(0.972+0.004j),(6.234+46.085j),(-0+0.001j),(0.972+0.004j),132.0,699.8,127.9,-14.4,698.1,-12.9,72.2,3.36,False,299,875,315.93,82.3,226.25,41.1
Tower Type B1,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.071+0.357j),3.0709760466122096e-06j,(0.972+0.006j),(15.897+80.393j),(-0+0.001j),(0.972+0.006j),132.0,699.8,129.6,-25.4,685.9,-7.3,45.8,8.48,True,405,997,169.04,78.8,121.56,39.4
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.036+0.258j),4.249172540753887e-06j,(0.972+0.004j),(7.949+58.09j),(-0+0.001j),(0.972+0.004j),132.0,699.8,129.1,-18.1,691.4,-10.3,57.6,4.26,True,405,997,252.14,82.2,180.49,41.1
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.036+0.249j),4.4032488016983794e-06j,(0.972+0.004j),(7.949+56.058j),(-0+0.001j),(0.972+0.004j),132.0,699.8,128.7,-17.5,692.2,-10.6,58.3,4.26,True,405,997,258.94,81.9,185.47,41.0
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.024+0.227j),4.8340046904872875e-06j,(0.972+0.003j),(5.299+51.058j),(-0+0.001j),(0.972+0.003j),132.0,699.8,129.5,-15.8,694.8,-11.7,69.4,2.85,False,405,997,299.26,84.1,213.59,42.0
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.024+0.212j),5.178954999437324e-06j,(0.972+0.003j),(5.299+47.658j),(-0+0.001j),(0.972+0.003j),132.0,699.8,128.9,-14.8,697.0,-12.6,70.8,2.86,False,405,997,316.44,83.7,226.04,41.8
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.018+0.201j),5.450123107753459e-06j,(0.972+0.002j),(3.974+45.285j),(-0+0.001j),(0.972+0.002j),132.0,699.8,129.4,-14.0,698.8,-13.2,81.2,2.15,False,405,997,343.44,85.0,244.79,42.5
Tower Type B1,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.05+0.346j),3.1715784957800177e-06j,(0.972+0.004j),(11.082+77.828j),(-0+0.001j),(0.972+0.004j),132.0,699.8,132.0,-24.1,686.4,-7.6,48.6,5.91,True,495,1224,190.45,81.9,136.19,40.9
