Tower Type,Bundle Type,Conductor Type,Impedance,Admittance,A,B,C,D,Vs,Is,Vr (KV),Vr angle (Degrees),Ir (A),Ir angle (Degrees),Cost (Million $),Real Power loss (%),Current limit (Summer),Current limit (Winter),Stability limit (MVA),Stability limit angle,Dynamic Stability limit (MVA),Dynamic Stability limit angle
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.062+0.216j),5.070035355472591e-06j,(0.999+0j),(1.981+6.926j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-2.1,0.7,-1.7,7.9,1.05,216,636,1742.17,74.0,1259.72,37.0
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.046+0.203j),5.3952609508631095e-06j,(0.999+0j),(1.486+6.508j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-2.0,0.7,-1.9,8.9,0.79,216,636,2017.7,77.1,1452.79,38.6
Tower Type A1,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.112+0.366j),2.9982141476233003e-06j,(0.999+0j),(3.581+11.712j),(-0+0j),(0.999+0j),132.0,699.8,129.7,-3.6,0.7,-1.0,5.7,1.9,299,875,996.22,73.0,722.08,36.5
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.056+0.26j),4.222964204081824e-06j,(0.999+0j),(1.79+8.315j),(-0+0j),(0.999+0j),132.0,699.8,130.8,-2.5,0.7,-1.5,7.1,0.95,299,875,1606.52,77.8,1155.83,38.9
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.056+0.251j),4.375111654726636e-06j,(0.999+0j),(1.79+8.026j),(-0+0j),(0.999+0j),132.0,699.8,130.8,-2.5,0.7,-1.5,7.2,0.95,299,875,1646.58,77.4,1185.31,38.7
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.037+0.226j),4.850106164457482e-06j,(0.999+0j),(1.194+7.24j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.2,0.7,-1.7,8.4,0.63,299,875,1978.49,80.6,1417.87,40.3
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.037+0.211j),5.197440831920063e-06j,(0.999+0j),(1.194+6.756j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.1,0.7,-1.8,8.6,0.63,299,875,2087.49,80.0,1497.3,40.0
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.028+0.199j),5.5029209942256775e-06j,(0.999+0j),(0.895+6.381j),(-0+0j),(0.999+0j),132.0,699.8,131.4,-1.9,0.7,-1.9,9.8,0.47,299,875,2319.21,82.0,1658.83,41.0
Tower Type A1,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.071+0.352j),3.1186849362318125e-06j,(0.999+0j),(2.283+11.259j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-3.5,0.7,-1.1,6.0,1.21,405,997,1205.3,78.5,866.54,39.3
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.036+0.253j),4.341058981694303e-06j,(0.999+0j),(1.142+8.089j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.5,0.7,-1.5,7.7,0.61,405,997,1826.16,82.0,1306.33,41.0
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.036+0.244j),4.501997144985102e-06j,(0.999+0j),(1.142+7.8j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.4,0.7,-1.6,7.8,0.61,405,997,1881.27,81.7,1346.3,40.8
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.024+0.222j),4.953280217015424e-06j,(0.999+0j),(0.761+7.089j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.2,0.7,-1.7,9.4,0.4,405,997,2175.53,83.9,1552.06,41.9
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.024+0.206j),5.316102164005732e-06j,(0.999+0j),(0.761+6.605j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.0,0.7,-1.8,9.6,0.4,405,997,2312.61,83.4,1650.87,41.7
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.018+0.196j),5.602219103226575e-06j,(0.999+0j),(0.571+6.268j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-1.9,0.7,-1.9,11.0,0.3,405,997,2510.53,84.8,1788.7,42.4
Tower Type A1,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.05+0.341j),3.2224902967509506e-06j,(0.999+0j),(1.591+10.896j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-3.3,0.7,-1.1,6.4,0.84,495,1224,1345.35,81.7,962.85,40.8
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.025+0.247j),4.440614520198643e-06j,(0.999+0j),(0.796+7.907j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.4,0.7,-1.5,8.5,0.42,495,1224,1966.08,84.3,1401.9,42.1
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.025+0.238j),4.609162371815347e-06j,(0.999+0j),(0.796+7.618j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.3,0.7,-1.6,8.6,0.42,495,1224,2031.31,84.0,1448.85,42.0
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.017+0.218j),5.03921947042116e-06j,(0.999+0j),(0.53+6.968j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.1,0.7,-1.7,10.5,0.28,495,1224,2298.37,85.6,1635.57,42.8
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.017+0.203j),5.415218376692445e-06j,(0.999+0j),(0.53+6.484j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.0,0.7,-1.9,10.7,0.28,495,1224,2453.57,85.3,1746.81,42.7
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.012+0.193j),5.684451956469492e-06j,(0.999+0j),(0.398+6.177j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-1.9,0.7,-2.0,12.6,0.21,495,1224,2628.73,86.3,1868.87,43.2
Tower Type A2,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.609+0.432j),2.539591335873495e-06j,(0.999+0.001j),(19.496+13.832j),(-0+0j),(0.999+0.001j),132.0,699.8,118.7,-4.6,0.7,-0.8,5.7,10.34,110,308,174.82,35.4,143.88,17.7
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.305+0.299j),3.6659732326133328e-06j,(0.999+0.001j),(9.748+9.58j),(-0+0j),(0.999+0.001j),132.0,699.8,125.3,-3.0,0.7,-1.2,6.6,5.17,110,308,390.92,44.5,300.82,22.3
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.305+0.29j),3.780090029162843e-06j,(0.999+0.001j),(9.748+9.291j),(-0+0j),(0.999+0.001j),132.0,699.8,125.3,-2.9,0.7,-1.3,6.7,5.17,110,308,384.39,43.6,296.47,21.8
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.203+0.257j),4.2721388058089785e-06j,(0.999+0j),(6.499+8.22j),(-0+0j),(0.999+0j),132.0,699.8,127.5,-2.6,0.7,-1.5,7.5,3.45,110,308,643.99,51.7,483.45,25.8
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.203+0.242j),4.539344580389231e-06j,(0.999+0j),(6.499+7.736j),(-0+0j),(0.999+0j),132.0,699.8,127.5,-2.4,0.7,-1.5,7.7,3.45,110,308,630.9,50.0,475.03,25.0
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.152+0.226j),4.864449831231781e-06j,(0.999+0j),(4.874+7.219j),(-0+0j),(0.999+0j),132.0,699.8,128.6,-2.2,0.7,-1.7,8.4,2.58,110,308,886.42,56.0,658.49,28.0
Tower Type A2,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.186+0.395j),2.7796226948236015e-06j,(0.999+0j),(5.944+12.633j),(-0+0j),(0.999+0j),132.0,699.8,128.1,-3.9,0.7,-0.9,6.0,3.15,216,636,710.72,64.8,522.2,32.4
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.093+0.281j),3.909650806437302e-06j,(0.999+0j),(2.972+8.981j),(-0+0j),(0.999+0j),132.0,699.8,130.0,-2.8,0.7,-1.3,7.1,1.58,216,636,1252.7,71.7,909.16,35.8
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.093+0.272j),4.039711621790552e-06j,(0.999+0j),(2.972+8.692j),(-0+0j),(0.999+0j),132.0,699.8,130.0,-2.7,0.7,-1.4,7.2,1.58,216,636,1272.79,71.1,924.4,35.6
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.062+0.244j),4.489530698635078e-06j,(0.999+0j),(1.981+7.821j),(-0+0j),(0.999+0j),132.0,699.8,130.7,-2.4,0.7,-1.5,8.2,1.05,216,636,1618.0,75.8,1167.33,37.9
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.062+0.229j),4.785564609711747e-06j,(0.999+0j),(1.981+7.337j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-2.2,0.7,-1.6,8.4,1.05,216,636,1683.57,74.9,1216.03,37.4
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.046+0.216j),5.0742792610099525e-06j,(0.999+0j),(1.486+6.92j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-2.1,0.7,-1.7,9.3,0.79,216,636,1933.86,77.9,1391.09,38.9
Tower Type A2,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.112+0.379j),2.8963985284401345e-06j,(0.999+0j),(3.581+12.123j),(-0+0j),(0.999+0j),132.0,699.8,129.7,-3.7,0.7,-1.0,6.2,1.9,299,875,977.36,73.5,707.89,36.8
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.056+0.273j),4.023740590288976e-06j,(0.999+0j),(1.79+8.727j),(-0+0j),(0.999+0j),132.0,699.8,130.8,-2.7,0.7,-1.4,7.5,0.95,299,875,1552.27,78.4,1115.97,39.2
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.056+0.264j),4.161636786518278e-06j,(0.999+0j),(1.79+8.437j),(-0+0j),(0.999+0j),132.0,699.8,130.8,-2.6,0.7,-1.4,7.6,0.95,299,875,1590.04,78.0,1143.71,39.0
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.037+0.239j),4.589144668605896e-06j,(0.999+0j),(1.194+7.651j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.3,0.7,-1.6,8.9,0.63,299,875,1893.75,81.1,1356.24,40.6
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.037+0.224j),4.898914364853833e-06j,(0.999+0j),(1.194+7.168j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.2,0.7,-1.7,9.1,0.63,299,875,1994.06,80.5,1429.21,40.3
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.028+0.212j),5.1693973460139205e-06j,(0.999+0j),(0.895+6.793j),(-0+0j),(0.999+0j),132.0,699.8,131.4,-2.1,0.7,-1.8,10.2,0.47,299,875,2202.1,82.5,1574.05,41.2
Tower Type A2,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.071+0.365j),3.008672970122985e-06j,(0.999+0j),(2.283+11.671j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-3.6,0.7,-1.0,6.5,1.21,405,997,1174.17,78.9,843.7,39.5
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.036+0.266j),4.130814401780984e-06j,(0.999+0j),(1.142+8.5j),(-0+0j),(0.999+0j),132.0,699.8,131.3,-2.6,0.7,-1.4,8.2,0.61,405,997,1752.81,82.4,1253.21,41.2
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.036+0.257j),4.27627988138631e-06j,(0.999+0j),(1.142+8.211j),(-0+0j),(0.999+0j),132.0,699.8,131.3,-2.5,0.7,-1.5,8.2,0.61,405,997,1803.72,82.1,1290.08,41.0
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.024+0.234j),4.681409182544531e-06j,(0.999+0j),(0.761+7.501j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.3,0.7,-1.6,9.8,0.4,405,997,2070.83,84.2,1476.68,42.1
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.024+0.219j),5.004197952510292e-06j,(0.999+0j),(0.761+7.017j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.1,0.7,-1.7,10.0,0.4,405,997,2194.95,83.8,1566.05,41.9
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.018+0.209j),5.256927873195806e-06j,(0.999+0j),(0.571+6.679j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.0,0.7,-1.8,11.5,0.3,405,997,2371.44,85.1,1688.85,42.6
Tower Type A2,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.05+0.353j),3.1051707063079695e-06j,(0.999+0j),(1.591+11.308j),(-0+0j),(0.999+0j),132.0,699.8,131.1,-3.5,0.7,-1.1,6.9,0.84,495,1224,1305.23,82.0,933.76,41.0
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.025+0.26j),4.220860170933272e-06j,(0.999+0j),(0.796+8.319j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.5,0.7,-1.5,8.9,0.42,495,1224,1880.0,84.5,1339.99,42.3
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.025+0.251j),4.37285332025686e-06j,(0.999+0j),(0.796+8.03j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.4,0.7,-1.5,9.0,0.42,495,1224,1939.66,84.3,1382.89,42.2
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.017+0.231j),4.75810039601443e-06j,(0.999+0j),(0.53+7.38j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-2.2,0.7,-1.6,11.0,0.28,495,1224,2180.87,85.9,1551.42,42.9
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.017+0.216j),5.091928776152022e-06j,(0.999+0j),(0.53+6.896j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.1,0.7,-1.8,11.2,0.28,495,1224,2320.27,85.6,1651.26,42.8
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.012+0.206j),5.32927086771666e-06j,(0.999+0j),(0.398+6.589j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-2.0,0.7,-1.8,13.0,0.21,495,1224,2475.79,86.5,1759.55,43.3
Tower Type B1,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.609+0.425j),2.5838386906892727e-06j,(0.999+0.001j),(19.496+13.595j),(-0+0j),(0.999+0.001j),132.0,699.8,118.7,-4.5,0.7,-0.8,5.7,10.34,110,308,173.09,34.9,142.78,17.4
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.305+0.292j),3.7588928284601294e-06j,(0.999+0.001j),(9.748+9.343j),(-0+0j),(0.999+0.001j),132.0,699.8,125.3,-3.0,0.7,-1.3,6.6,5.17,110,308,385.6,43.8,297.29,21.9
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.305+0.283j),3.878962597219783e-06j,(0.999+0.001j),(9.748+9.054j),(-0+0j),(0.999+0.001j),132.0,699.8,125.3,-2.9,0.7,-1.3,6.7,5.17,110,308,378.7,42.9,292.67,21.4
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.203+0.249j),4.3988582926442925e-06j,(0.999+0j),(6.499+7.983j),(-0+0j),(0.999+0j),132.0,699.8,127.5,-2.5,0.7,-1.5,7.5,3.45,110,308,637.99,50.9,479.62,25.4
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.203+0.234j),4.682677340496768e-06j,(0.999+0j),(6.499+7.5j),(-0+0j),(0.999+0j),132.0,699.8,127.5,-2.3,0.7,-1.6,7.7,3.45,110,308,623.25,49.1,470.01,24.5
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.152+0.218j),5.029421686258565e-06j,(0.999+0j),(4.874+6.982j),(-0+0j),(0.999+0j),132.0,699.8,128.6,-2.2,0.7,-1.7,8.4,2.58,110,308,881.84,55.1,655.91,27.5
Tower Type B1,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.186+0.387j),2.8327168972285187e-06j,(0.999+0j),(5.944+12.396j),(-0+0j),(0.999+0j),132.0,699.8,128.1,-3.9,0.7,-1.0,5.9,3.15,216,636,713.86,64.4,524.83,32.2
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.093+0.273j),4.0155120477312335e-06j,(0.999+0j),(2.972+8.745j),(-0+0j),(0.999+0j),132.0,699.8,130.0,-2.7,0.7,-1.4,7.0,1.58,216,636,1269.14,71.2,921.63,35.6
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.093+0.264j),4.1528352016030125e-06j,(0.999+0j),(2.972+8.455j),(-0+0j),(0.999+0j),132.0,699.8,130.0,-2.6,0.7,-1.4,7.1,1.58,216,636,1289.29,70.6,936.98,35.3
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.062+0.237j),4.629686343379485e-06j,(0.999+0j),(1.981+7.585j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-2.3,0.7,-1.6,8.2,1.05,216,636,1649.63,75.4,1190.8,37.7
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.062+0.222j),4.9451414956005e-06j,(0.999+0j),(1.981+7.101j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-2.2,0.7,-1.7,8.4,1.05,216,636,1716.97,74.4,1240.91,37.2
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.046+0.209j),5.254053275215045e-06j,(0.999+0j),(1.486+6.683j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-2.0,0.7,-1.8,9.3,0.79,216,636,1981.36,77.5,1426.02,38.7
Tower Type B1,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.112+0.372j),2.9540938618574357e-06j,(0.999+0j),(3.581+11.887j),(-0+0j),(0.999+0j),132.0,699.8,129.7,-3.7,0.7,-1.0,6.1,1.9,299,875,988.16,73.2,716.01,36.6
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.056+0.265j),4.135959044669734e-06j,(0.999+0j),(1.79+8.49j),(-0+0j),(0.999+0j),132.0,699.8,130.8,-2.6,0.7,-1.4,7.5,0.95,299,875,1583.08,78.1,1138.6,39.0
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.056+0.256j),4.2817934801743536e-06j,(0.999+0j),(1.79+8.201j),(-0+0j),(0.999+0j),132.0,699.8,130.8,-2.5,0.7,-1.5,7.6,0.95,299,875,1622.15,77.7,1167.33,38.8
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.037+0.232j),4.735690385091749e-06j,(0.999+0j),(1.194+7.415j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.3,0.7,-1.6,8.8,0.63,299,875,1941.63,80.9,1391.05,40.4
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.037+0.217j),5.066272358331339e-06j,(0.999+0j),(1.194+6.931j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.1,0.7,-1.7,9.0,0.63,299,875,2046.83,80.2,1467.65,40.1
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.028+0.205j),5.356098298432733e-06j,(0.999+0j),(0.895+6.556j),(-0+0j),(0.999+0j),132.0,699.8,131.4,-2.0,0.7,-1.8,10.2,0.47,299,875,2268.03,82.2,1621.76,41.1
Tower Type B1,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.071+0.357j),3.0709760466122096e-06j,(0.999+0j),(2.283+11.434j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-3.5,0.7,-1.1,6.5,1.21,405,997,1191.9,78.7,856.7,39.4
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.036+0.258j),4.249172540753887e-06j,(0.999+0j),(1.142+8.264j),(-0+0j),(0.999+0j),132.0,699.8,131.3,-2.5,0.7,-1.5,8.1,0.61,405,997,1794.29,82.1,1283.24,41.1
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.036+0.249j),4.4032488016983794e-06j,(0.999+0j),(1.142+7.974j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.4,0.7,-1.5,8.2,0.61,405,997,1847.56,81.9,1321.85,40.9
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.024+0.227j),4.8340046904872875e-06j,(0.999+0j),(0.761+7.264j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.2,0.7,-1.7,9.8,0.4,405,997,2129.81,84.0,1519.13,42.0
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.024+0.212j),5.178954999437324e-06j,(0.999+0j),(0.761+6.78j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.1,0.7,-1.8,10.0,0.4,405,997,2261.15,83.6,1613.76,41.8
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.018+0.201j),5.450123107753459e-06j,(0.999+0j),(0.571+6.443j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.0,0.7,-1.9,11.4,0.3,405,997,2449.52,84.9,1744.88,42.5
Tower Type B1,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.05+0.346j),3.1715784957800177e-06j,(0.999+0j),(1.591+11.071j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-3.4,0.7,-1.1,6.8,0.84,495,1224,1328.02,81.8,950.28,40.9
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.025+0.253j),4.344511853575704e-06j,(0.999+0j),(0.796+8.082j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.5,0.7,-1.5,8.9,0.42,495,1224,1928.58,84.4,1374.92,42.2
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.025+0.244j),4.505710892106696e-06j,(0.999+0j),(0.796+7.793j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.4,0.7,-1.6,9.0,0.42,495,1224,1991.35,84.2,1420.09,42.1
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.017+0.223j),4.9158207409105975e-06j,(0.999+0j),(0.53+7.143j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.2,0.7,-1.7,10.9,0.28,495,1224,2246.95,85.8,1598.74,42.9
