Tower Type,Bundle Type,Conductor Type,Impedance,Admittance,A,B,C,D,Vs,Is,Vr (KV),Vr angle (Degrees),Ir (A),Ir angle (Degrees),Cost (Million $),Real Power loss (%),Thermal limit surpassed,Current limit (Summer),Current limit (Winter),Stability limit (MVA),Stability limit angle,Dynamic Stability limit (MVA),Dynamic Stability limit angle
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.062+0.216j),5.070035355472591e-06j,(0.999+0j),(2.105+7.358j),(-0+0j),(0.999+0j),132.0,699.8,130.5,-2.3,699.7,-1.9,8.4,1.12,True,216,636,1639.08,74.0,1185.29,37.0
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.046+0.203j),5.3952609508631095e-06j,(0.999+0j),(1.579+6.915j),(-0+0j),(0.999+0j),132.0,699.8,130.9,-2.1,699.8,-2.0,9.4,0.84,True,216,636,1898.4,77.1,1366.97,38.6
Tower Type A1,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.112+0.366j),2.9982141476233003e-06j,(0.999+0j),(3.804+12.443j),(-0+0j),(0.999+0j),132.0,699.8,129.5,-3.8,699.5,-1.1,6.1,2.02,True,299,875,937.07,73.0,679.31,36.5
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.056+0.26j),4.222964204081824e-06j,(0.999+0j),(1.902+8.834j),(-0+0j),(0.999+0j),132.0,699.8,130.7,-2.7,699.6,-1.5,7.5,1.01,True,299,875,1511.46,77.8,1087.5,38.9
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.056+0.251j),4.375111654726636e-06j,(0.999+0j),(1.902+8.527j),(-0+0j),(0.999+0j),132.0,699.8,130.7,-2.6,699.6,-1.6,7.6,1.01,True,299,875,1549.15,77.4,1115.24,38.7
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.037+0.226j),4.850106164457482e-06j,(0.999+0j),(1.268+7.692j),(-0+0j),(0.999+0j),132.0,699.8,131.1,-2.3,699.7,-1.8,8.9,0.67,True,299,875,1861.59,80.6,1334.14,40.3
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.037+0.211j),5.197440831920063e-06j,(0.999+0j),(1.268+7.178j),(-0+0j),(0.999+0j),132.0,699.8,131.1,-2.2,699.8,-1.9,9.1,0.67,True,299,875,1964.16,80.0,1408.88,40.0
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.028+0.199j),5.5029209942256775e-06j,(0.999+0j),(0.951+6.78j),(-0+0j),(0.999+0j),132.0,699.8,131.3,-2.1,699.8,-2.0,10.4,0.5,False,299,875,2182.3,82.0,1560.94,41.0
Tower Type A1,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.071+0.352j),3.1186849362318125e-06j,(0.999+0j),(2.426+11.963j),(-0+0j),(0.999+0j),132.0,699.8,130.5,-3.7,699.5,-1.1,6.4,1.29,True,405,997,1133.92,78.5,815.26,39.3
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.036+0.253j),4.341058981694303e-06j,(0.999+0j),(1.213+8.594j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.6,699.6,-1.6,8.2,0.64,True,405,997,1718.3,82.0,1229.21,41.0
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.036+0.244j),4.501997144985102e-06j,(0.999+0j),(1.213+8.287j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.5,699.7,-1.6,8.3,0.64,True,405,997,1770.16,81.7,1266.81,40.8
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.024+0.222j),4.953280217015424e-06j,(0.999+0j),(0.809+7.532j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.3,699.7,-1.8,10.0,0.43,False,405,997,2047.19,83.9,1460.52,41.9
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.024+0.206j),5.316102164005732e-06j,(0.999+0j),(0.809+7.018j),(-0+0j),(0.999+0j),132.0,699.8,131.4,-2.1,699.8,-1.9,10.2,0.43,False,405,997,2176.17,83.4,1553.49,41.7
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.018+0.196j),5.602219103226575e-06j,(0.999+0j),(0.606+6.659j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.0,699.8,-2.1,11.7,0.32,False,405,997,2362.51,84.8,1683.25,42.4
Tower Type A1,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.05+0.341j),3.2224902967509506e-06j,(0.999+0j),(1.691+11.577j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-3.5,699.5,-1.2,6.8,0.9,True,495,1224,1265.84,81.7,905.97,40.8
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.025+0.247j),4.440614520198643e-06j,(0.999+0j),(0.845+8.401j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.6,699.7,-1.6,9.0,0.45,False,495,1224,1850.11,84.3,1319.22,42.1
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.025+0.238j),4.609162371815347e-06j,(0.999+0j),(0.845+8.094j),(-0+0j),(0.999+0j),132.0,699.8,131.4,-2.5,699.7,-1.7,9.1,0.45,False,495,1224,1911.48,84.0,1363.39,42.0
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.017+0.218j),5.03921947042116e-06j,(0.999+0j),(0.564+7.403j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.3,699.7,-1.8,11.2,0.3,False,495,1224,2162.91,85.6,1539.19,42.8
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.017+0.203j),5.415218376692445e-06j,(0.999+0j),(0.564+6.889j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.1,699.8,-2.0,11.4,0.3,False,495,1224,2308.94,85.3,1643.85,42.7
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.012+0.193j),5.684451956469492e-06j,(0.999+0j),(0.423+6.563j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-2.0,699.8,-2.1,13.3,0.22,False,495,1224,2473.85,86.3,1758.76,43.2
Tower Type A2,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.609+0.432j),2.539591335873495e-06j,(0.999+0.001j),(20.713+14.696j),(-0+0j),(0.999+0.001j),132.0,699.8,117.9,-4.9,699.5,-0.9,6.1,10.98,True,110,308,166.49,35.4,137.56,17.7
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.305+0.299j),3.6659732326133328e-06j,(0.999+0.001j),(10.357+10.179j),(-0+0j),(0.999+0.001j),132.0,699.8,124.9,-3.2,699.6,-1.3,7.0,5.49,True,110,308,369.27,44.5,284.74,22.3
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.305+0.29j),3.780090029162843e-06j,(0.999+0.001j),(10.357+9.872j),(-0+0j),(0.999+0.001j),132.0,699.8,124.9,-3.1,699.6,-1.4,7.1,5.49,True,110,308,363.22,43.6,280.75,21.8
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.203+0.257j),4.2721388058089785e-06j,(0.999+0.001j),(6.904+8.734j),(-0+0j),(0.999+0.001j),132.0,699.8,127.2,-2.7,699.6,-1.5,8.0,3.66,True,110,308,606.79,51.7,456.01,25.8
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.203+0.242j),4.539344580389231e-06j,(0.999+0.001j),(6.904+8.22j),(-0+0j),(0.999+0.001j),132.0,699.8,127.2,-2.6,699.7,-1.6,8.2,3.66,True,110,308,594.65,50.0,448.26,25.0
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.152+0.226j),4.864449831231781e-06j,(0.999+0j),(5.178+7.67j),(-0+0j),(0.999+0j),132.0,699.8,128.4,-2.4,699.7,-1.8,8.9,2.75,True,110,308,834.59,56.0,620.4,28.0
Tower Type A2,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.186+0.395j),2.7796226948236015e-06j,(0.999+0j),(6.315+13.422j),(-0+0j),(0.999+0j),132.0,699.8,127.8,-4.2,699.5,-1.0,6.3,3.35,True,216,636,668.58,64.8,491.46,32.4
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.093+0.281j),3.909650806437302e-06j,(0.999+0j),(3.157+9.543j),(-0+0j),(0.999+0j),132.0,699.8,129.9,-2.9,699.6,-1.4,7.5,1.67,True,216,636,1178.46,71.7,855.4,35.8
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.093+0.272j),4.039711621790552e-06j,(0.999+0j),(3.157+9.235j),(-0+0j),(0.999+0j),132.0,699.8,129.9,-2.8,699.6,-1.5,7.6,1.67,True,216,636,1197.36,71.1,869.77,35.6
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.062+0.244j),4.489530698635078e-06j,(0.999+0j),(2.105+8.31j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-2.5,699.7,-1.6,8.7,1.12,True,216,636,1522.23,75.8,1098.32,37.9
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.062+0.229j),4.785564609711747e-06j,(0.999+0j),(2.105+7.796j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-2.4,699.7,-1.7,8.9,1.12,True,216,636,1583.93,74.9,1144.16,37.4
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.046+0.216j),5.0742792610099525e-06j,(0.999+0j),(1.579+7.352j),(-0+0j),(0.999+0j),132.0,699.8,130.9,-2.2,699.7,-1.9,9.9,0.84,True,216,636,1819.51,77.9,1308.9,38.9
Tower Type A2,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.112+0.379j),2.8963985284401345e-06j,(0.999+0j),(3.804+12.881j),(-0+0j),(0.999+0j),132.0,699.8,129.6,-4.0,699.5,-1.1,6.6,2.02,True,299,875,919.33,73.5,665.95,36.8
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.056+0.273j),4.023740590288976e-06j,(0.999+0j),(1.902+9.272j),(-0+0j),(0.999+0j),132.0,699.8,130.7,-2.8,699.6,-1.5,8.0,1.01,True,299,875,1460.42,78.4,1049.99,39.2
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.056+0.264j),4.161636786518278e-06j,(0.999+0j),(1.902+8.965j),(-0+0j),(0.999+0j),132.0,699.8,130.7,-2.7,699.6,-1.5,8.1,1.01,True,299,875,1495.95,78.0,1076.1,39.0
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.037+0.239j),4.589144668605896e-06j,(0.999+0j),(1.268+8.129j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.5,699.7,-1.7,9.4,0.67,True,299,875,1781.87,81.1,1276.15,40.6
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.037+0.224j),4.898914364853833e-06j,(0.999+0j),(1.268+7.615j),(-0+0j),(0.999+0j),132.0,699.8,131.1,-2.3,699.7,-1.8,9.6,0.67,True,299,875,1876.25,80.5,1344.81,40.3
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.028+0.212j),5.1693973460139205e-06j,(0.999+0j),(0.951+7.217j),(-0+0j),(0.999+0j),132.0,699.8,131.3,-2.2,699.8,-1.9,10.8,0.5,False,299,875,2072.12,82.5,1481.16,41.2
Tower Type A2,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.071+0.365j),3.008672970122985e-06j,(0.999+0j),(2.426+12.4j),(-0+0j),(0.999+0j),132.0,699.8,130.5,-3.8,699.5,-1.1,6.9,1.29,True,405,997,1104.64,78.9,793.78,39.5
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.036+0.266j),4.130814401780984e-06j,(0.999+0j),(1.213+9.031j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.8,699.6,-1.5,8.7,0.64,True,405,997,1649.3,82.4,1179.22,41.2
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.036+0.257j),4.27627988138631e-06j,(0.999+0j),(1.213+8.724j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.7,699.6,-1.6,8.8,0.64,True,405,997,1697.19,82.1,1213.91,41.0
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.024+0.234j),4.681409182544531e-06j,(0.999+0j),(0.809+7.969j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.4,699.7,-1.7,10.4,0.43,False,405,997,1948.68,84.2,1389.59,42.1
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.024+0.219j),5.004197952510292e-06j,(0.999+0j),(0.809+7.455j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.3,699.7,-1.8,10.6,0.43,False,405,997,2065.47,83.8,1473.68,41.9
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.018+0.209j),5.256927873195806e-06j,(0.999+0j),(0.606+7.097j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.2,699.8,-1.9,12.2,0.32,False,405,997,2231.64,85.1,1589.29,42.6
Tower Type A2,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.05+0.353j),3.1051707063079695e-06j,(0.999+0j),(1.691+12.015j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-3.7,699.5,-1.1,7.3,0.9,True,495,1224,1228.11,82.0,878.6,41.0
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.025+0.26j),4.220860170933272e-06j,(0.999+0j),(0.845+8.839j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.7,699.6,-1.5,9.5,0.45,False,495,1224,1769.13,84.5,1260.97,42.3
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.025+0.251j),4.37285332025686e-06j,(0.999+0j),(0.845+8.532j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.6,699.6,-1.6,9.6,0.45,False,495,1224,1825.25,84.3,1301.34,42.2
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.017+0.231j),4.75810039601443e-06j,(0.999+0j),(0.564+7.841j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.4,699.7,-1.7,11.7,0.3,False,495,1224,2052.35,85.9,1460.0,42.9
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.017+0.216j),5.091928776152022e-06j,(0.999+0j),(0.564+7.327j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.2,699.7,-1.9,11.9,0.3,False,495,1224,2183.51,85.6,1553.94,42.8
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.012+0.206j),5.32927086771666e-06j,(0.999+0j),(0.423+7j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-2.1,699.8,-2.0,13.8,0.22,False,495,1224,2329.94,86.5,1655.9,43.3
Tower Type B1,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.609+0.425j),2.5838386906892727e-06j,(0.999+0.001j),(20.713+14.445j),(-0+0j),(0.999+0.001j),132.0,699.8,117.8,-4.9,699.5,-0.9,6.0,10.98,True,110,308,164.91,34.9,136.58,17.4
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.305+0.292j),3.7588928284601294e-06j,(0.999+0.001j),(10.357+9.927j),(-0+0j),(0.999+0.001j),132.0,699.8,124.9,-3.1,699.6,-1.3,7.0,5.49,True,110,308,364.35,43.8,281.49,21.9
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.305+0.283j),3.878962597219783e-06j,(0.999+0.001j),(10.357+9.62j),(-0+0j),(0.999+0.001j),132.0,699.8,124.8,-3.0,699.6,-1.4,7.1,5.49,True,110,308,357.95,42.9,277.25,21.4
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.203+0.249j),4.3988582926442925e-06j,(0.999+0.001j),(6.904+8.482j),(-0+0j),(0.999+0.001j),132.0,699.8,127.2,-2.6,699.6,-1.6,7.9,3.66,True,110,308,601.23,50.9,452.49,25.4
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.203+0.234j),4.682677340496768e-06j,(0.999+0.001j),(6.904+7.968j),(-0+0j),(0.999+0.001j),132.0,699.8,127.2,-2.5,699.7,-1.7,8.1,3.66,True,110,308,587.55,49.1,443.63,24.5
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.152+0.218j),5.029421686258565e-06j,(0.999+0j),(5.178+7.419j),(-0+0j),(0.999+0j),132.0,699.8,128.4,-2.3,699.7,-1.8,8.9,2.75,True,110,308,830.36,55.1,618.06,27.5
Tower Type B1,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.186+0.387j),2.8327168972285187e-06j,(0.999+0j),(6.315+13.171j),(-0+0j),(0.999+0j),132.0,699.8,127.8,-4.1,699.5,-1.0,6.3,3.35,True,216,636,671.55,64.4,493.96,32.2
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.093+0.273j),4.0155120477312335e-06j,(0.999+0j),(3.157+9.291j),(-0+0j),(0.999+0j),132.0,699.8,129.9,-2.9,699.6,-1.5,7.5,1.67,True,216,636,1193.93,71.2,867.16,35.6
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.093+0.264j),4.1528352016030125e-06j,(0.999+0j),(3.157+8.984j),(-0+0j),(0.999+0j),132.0,699.8,129.9,-2.8,699.6,-1.5,7.6,1.67,True,216,636,1212.91,70.6,881.62,35.3
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.062+0.237j),4.629686343379485e-06j,(0.999+0j),(2.105+8.058j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-2.5,699.7,-1.7,8.7,1.12,True,216,636,1551.99,75.4,1120.41,37.7
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.062+0.222j),4.9451414956005e-06j,(0.999+0j),(2.105+7.544j),(-0+0j),(0.999+0j),132.0,699.8,130.5,-2.3,699.7,-1.8,8.9,1.12,True,216,636,1615.36,74.4,1167.58,37.2
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.046+0.209j),5.254053275215045e-06j,(0.999+0j),(1.579+7.101j),(-0+0j),(0.999+0j),132.0,699.8,130.9,-2.2,699.8,-1.9,9.9,0.84,True,216,636,1864.21,77.5,1341.78,38.7
Tower Type B1,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.112+0.372j),2.9540938618574357e-06j,(0.999+0j),(3.804+12.629j),(-0+0j),(0.999+0j),132.0,699.8,129.6,-3.9,699.5,-1.1,6.5,2.02,True,299,875,929.49,73.2,673.6,36.6
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.056+0.265j),4.135959044669734e-06j,(0.999+0j),(1.902+9.02j),(-0+0j),(0.999+0j),132.0,699.8,130.7,-2.8,699.6,-1.5,8.0,1.01,True,299,875,1489.41,78.1,1071.28,39.0
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.056+0.256j),4.2817934801743536e-06j,(0.999+0j),(1.902+8.713j),(-0+0j),(0.999+0j),132.0,699.8,130.7,-2.7,699.6,-1.6,8.1,1.01,True,299,875,1526.16,77.7,1098.32,38.8
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.037+0.232j),4.735690385091749e-06j,(0.999+0j),(1.268+7.878j),(-0+0j),(0.999+0j),132.0,699.8,131.1,-2.4,699.7,-1.7,9.4,0.67,True,299,875,1826.92,80.9,1308.91,40.4
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.037+0.217j),5.066272358331339e-06j,(0.999+0j),(1.268+7.364j),(-0+0j),(0.999+0j),132.0,699.8,131.1,-2.2,699.7,-1.9,9.6,0.67,True,299,875,1925.9,80.2,1380.98,40.1
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.028+0.205j),5.356098298432733e-06j,(0.999+0j),(0.951+6.965j),(-0+0j),(0.999+0j),132.0,699.8,131.3,-2.1,699.8,-2.0,10.8,0.5,False,299,875,2134.15,82.2,1526.06,41.1
Tower Type B1,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.071+0.357j),3.0709760466122096e-06j,(0.999+0j),(2.426+12.148j),(-0+0j),(0.999+0j),132.0,699.8,130.5,-3.7,699.5,-1.1,6.9,1.29,True,405,997,1121.31,78.7,806.01,39.4
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.036+0.258j),4.249172540753887e-06j,(0.999+0j),(1.213+8.78j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.7,699.6,-1.6,8.6,0.64,True,405,997,1688.32,82.1,1207.48,41.1
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.036+0.249j),4.4032488016983794e-06j,(0.999+0j),(1.213+8.473j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.6,699.7,-1.6,8.7,0.64,True,405,997,1738.44,81.9,1243.81,40.9
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.024+0.227j),4.8340046904872875e-06j,(0.999+0j),(0.809+7.718j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.4,699.7,-1.8,10.4,0.43,False,405,997,2004.17,84.0,1429.54,42.0
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.024+0.212j),5.178954999437324e-06j,(0.999+0j),(0.809+7.204j),(-0+0j),(0.999+0j),132.0,699.8,131.4,-2.2,699.8,-1.9,10.6,0.43,False,405,997,2127.75,83.6,1518.58,41.8
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.018+0.201j),5.450123107753459e-06j,(0.999+0j),(0.606+6.845j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.1,699.8,-2.0,12.2,0.32,False,405,997,2305.1,84.9,1642.02,42.5
Tower Type B1,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.05+0.346j),3.1715784957800177e-06j,(0.999+0j),(1.691+11.763j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-3.6,699.5,-1.2,7.3,0.9,True,495,1224,1249.54,81.8,894.15,40.9
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.025+0.253j),4.344511853575704e-06j,(0.999+0j),(0.845+8.587j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.6,699.6,-1.6,9.4,0.45,False,495,1224,1814.83,84.4,1293.84,42.2
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.025+0.244j),4.505710892106696e-06j,(0.999+0j),(0.845+8.28j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.5,699.7,-1.7,9.5,0.45,False,495,1224,1873.89,84.2,1336.33,42.1
