Tower Type,Bundle Type,Conductor Type,Impedance,Admittance,A,B,C,D,Vs,Is,Vr (KV),Vr angle (Degrees),Ir (A),Ir angle (Degrees),Cost (Million $),Real Power loss (%),Thermal limit surpassed,Current limit (Summer),Current limit (Winter),Stability limit (MVA),Stability limit angle,Dynamic Stability limit (MVA),Dynamic Stability limit angle
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.056+0.251j),4.375111654726636e-06j,(0.981+0.004j),(10.172+45.885j),(-0+0.001j),(0.981+0.004j),132.0,699.8,126.4,-14.5,694.6,-8.5,41.2,5.43,True,299,875,281.49,77.5,203.32,38.8
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.037+0.226j),4.850106164457482e-06j,(0.981+0.003j),(6.781+41.386j),(-0+0.001j),(0.981+0.003j),132.0,699.8,128.0,-12.9,696.5,-9.5,48.4,3.63,True,299,875,339.79,80.7,243.93,40.3
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.037+0.211j),5.197440831920063e-06j,(0.981+0.003j),(6.781+38.621j),(-0+0.001j),(0.981+0.003j),132.0,699.8,127.6,-12.0,697.9,-10.2,49.5,3.63,True,299,875,357.76,80.0,257.16,40.0
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.028+0.199j),5.5029209942256775e-06j,(0.981+0.003j),(5.086+36.474j),(-0+0.001j),(0.981+0.003j),132.0,699.8,128.5,-11.3,699.4,-10.8,56.1,2.73,False,299,875,398.63,82.1,285.5,41.0
Tower Type A1,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.071+0.352j),3.1186849362318125e-06j,(0.981+0.004j),(12.97+64.368j),(-0+0.001j),(0.981+0.004j),132.0,699.8,128.5,-20.3,690.8,-6.0,34.8,6.9,True,405,997,208.59,78.6,150.18,39.3
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.036+0.253j),4.341058981694303e-06j,(0.981+0.003j),(6.485+46.237j),(-0+0.001j),(0.981+0.003j),132.0,699.8,129.1,-14.4,694.6,-8.5,44.3,3.46,True,405,997,315.3,82.0,225.78,41.0
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.036+0.244j),4.501997144985102e-06j,(0.981+0.003j),(6.485+44.584j),(-0+0.001j),(0.981+0.003j),132.0,699.8,128.8,-13.9,695.2,-8.8,44.9,3.47,True,405,997,324.29,81.7,232.34,40.9
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.024+0.222j),4.953280217015424e-06j,(0.981+0.002j),(4.323+40.52j),(-0+0.001j),(0.981+0.002j),132.0,699.8,129.6,-12.5,697.0,-9.8,53.9,2.31,False,405,997,376.11,83.9,268.49,42.0
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.024+0.206j),5.316102164005732e-06j,(0.981+0.002j),(4.323+37.755j),(-0+0.001j),(0.981+0.002j),132.0,699.8,129.2,-11.7,698.6,-10.5,55.0,2.32,False,405,997,398.81,83.5,284.93,41.7
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.018+0.196j),5.602219103226575e-06j,(0.981+0.002j),(3.243+35.825j),(-0+0.001j),(0.981+0.002j),132.0,699.8,129.7,-11.0,699.9,-11.0,63.4,1.74,False,405,997,433.75,84.8,309.2,42.4
Tower Type A1,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.05+0.341j),3.2224902967509506e-06j,(0.981+0.003j),(9.041+62.287j),(-0+0.001j),(0.981+0.003j),132.0,699.8,130.6,-19.3,691.1,-6.3,37.0,4.81,True,495,1224,234.96,81.7,168.18,40.9
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.025+0.247j),4.440614520198643e-06j,(0.981+0.002j),(4.521+45.197j),(-0+0.001j),(0.981+0.002j),132.0,699.8,130.2,-13.9,695.0,-8.8,48.7,2.42,False,495,1224,341.29,84.3,243.44,42.1
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.025+0.238j),4.609162371815347e-06j,(0.981+0.002j),(4.521+43.545j),(-0+0.001j),(0.981+0.002j),132.0,699.8,130.0,-13.4,695.7,-9.1,49.3,2.42,False,495,1224,351.99,84.1,251.18,42.0
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.017+0.218j),5.03921947042116e-06j,(0.981+0.001j),(3.014+39.827j),(-0+0.001j),(0.981+0.001j),132.0,699.8,130.4,-12.3,697.4,-10.0,60.5,1.61,False,495,1224,398.88,85.7,283.93,42.8
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.017+0.203j),5.415218376692445e-06j,(0.981+0.002j),(3.014+37.062j),(-0+0.001j),(0.981+0.002j),132.0,699.8,130.0,-11.4,699.1,-10.7,61.6,1.62,False,495,1224,424.7,85.4,302.48,42.7
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.012+0.193j),5.684451956469492e-06j,(0.981+0.001j),(2.26+35.306j),(-0+0.001j),(0.981+0.001j),132.0,699.8,130.3,-10.9,700.3,-11.2,72.2,1.21,False,495,1224,455.52,86.3,323.93,43.2
Tower Type A2,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.609+0.432j),2.539591335873495e-06j,(0.981+0.026j),(110.755+79.999j),(-0+0j),(0.981+0.026j),132.0,699.8,73.9,-45.3,688.7,-3.6,32.9,58.84,True,110,308,38.99,35.8,35.53,17.9
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.305+0.299j),3.6659732326133328e-06j,(0.981+0.019j),(55.378+55.096j),(-0+0.001j),(0.981+0.019j),132.0,699.8,97.7,-21.7,691.5,-6.3,38.1,29.5,True,110,308,78.46,44.9,65.97,22.4
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.305+0.29j),3.780090029162843e-06j,(0.981+0.019j),(55.378+53.454j),(-0+0.001j),(0.981+0.019j),132.0,699.8,97.3,-21.0,691.8,-6.4,38.6,29.51,True,110,308,78.36,44.0,66.23,22.0
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.203+0.257j),4.2721388058089785e-06j,(0.981+0.015j),(36.919+47.159j),(-0+0.001j),(0.981+0.015j),132.0,699.8,108.3,-16.7,693.6,-7.7,43.2,19.7,True,110,308,117.96,51.9,93.86,26.0
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.203+0.242j),4.539344580389231e-06j,(0.981+0.016j),(36.919+44.405j),(-0+0.001j),(0.981+0.016j),132.0,699.8,107.7,-15.6,694.5,-8.2,44.3,19.72,True,110,308,117.75,50.3,94.45,25.1
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.152+0.226j),4.864449831231781e-06j,(0.981+0.012j),(27.689+41.373j),(-0+0.001j),(0.981+0.012j),132.0,699.8,113.5,-13.9,695.9,-9.0,48.3,14.81,True,110,308,157.01,56.2,121.52,28.1
Tower Type A2,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.186+0.395j),2.7796226948236015e-06j,(0.981+0.009j),(33.766+72.3j),(-0+0.001j),(0.981+0.009j),132.0,699.8,116.9,-25.0,689.7,-5.1,34.2,17.95,True,216,636,120.9,65.0,90.65,32.5
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.093+0.281j),3.909650806437302e-06j,(0.981+0.006j),(16.883+51.367j),(-0+0.001j),(0.981+0.006j),132.0,699.8,122.9,-16.6,692.9,-7.5,40.7,9.0,True,216,636,212.77,71.8,155.78,35.9
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.093+0.272j),4.039711621790552e-06j,(0.981+0.006j),(16.883+49.716j),(-0+0.001j),(0.981+0.006j),132.0,699.8,122.5,-16.1,693.3,-7.7,41.3,9.01,True,216,636,216.1,71.2,158.46,35.6
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.062+0.244j),4.489530698635078e-06j,(0.981+0.005j),(11.255+44.72j),(-0+0.001j),(0.981+0.005j),132.0,699.8,125.5,-14.2,695.0,-8.7,47.2,6.01,True,216,636,275.85,75.9,199.95,37.9
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.062+0.229j),4.785564609711747e-06j,(0.981+0.005j),(11.255+41.956j),(-0+0.001j),(0.981+0.005j),132.0,699.8,125.0,-13.3,696.1,-9.3,48.3,6.02,True,216,636,286.66,75.0,208.19,37.5
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.046+0.216j),5.0742792610099525e-06j,(0.981+0.004j),(8.442+39.562j),(-0+0.001j),(0.981+0.004j),132.0,699.8,126.6,-12.4,697.4,-9.9,53.6,4.52,True,216,636,330.41,78.0,238.45,39.0
Tower Type A2,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.112+0.379j),2.8963985284401345e-06j,(0.981+0.005j),(20.343+69.328j),(-0+0.001j),(0.981+0.005j),132.0,699.8,124.8,-22.5,690.2,-5.5,35.5,10.82,True,299,875,167.33,73.6,121.83,36.8
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.056+0.273j),4.023740590288976e-06j,(0.981+0.004j),(10.172+49.89j),(-0+0.001j),(0.981+0.004j),132.0,699.8,127.2,-15.7,693.4,-7.8,43.2,5.43,True,299,875,266.25,78.5,191.91,39.2
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.056+0.264j),4.161636786518278e-06j,(0.981+0.004j),(10.172+48.238j),(-0+0.001j),(0.981+0.004j),132.0,699.8,126.9,-15.2,693.9,-8.1,43.8,5.43,True,299,875,272.33,78.1,196.45,39.0
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.037+0.239j),4.589144668605896e-06j,(0.981+0.003j),(6.781+43.738j),(-0+0.001j),(0.981+0.003j),132.0,699.8,128.4,-13.6,695.5,-9.0,51.0,3.63,True,299,875,325.9,81.2,233.73,40.6
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.037+0.224j),4.898914364853833e-06j,(0.981+0.003j),(6.781+40.974j),(-0+0.001j),(0.981+0.003j),132.0,699.8,128.0,-12.8,696.7,-9.6,52.1,3.63,True,299,875,342.35,80.6,245.81,40.3
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.028+0.212j),5.1693973460139205e-06j,(0.981+0.002j),(5.086+38.827j),(-0+0.001j),(0.981+0.002j),132.0,699.8,128.8,-12.0,697.9,-10.2,58.7,2.73,False,299,875,379.21,82.5,271.35,41.3
Tower Type A2,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.071+0.365j),3.008672970122985e-06j,(0.981+0.004j),(12.97+66.72j),(-0+0.001j),(0.981+0.004j),132.0,699.8,129.0,-21.0,690.5,-5.8,37.3,6.9,True,405,997,203.85,79.0,146.62,39.5
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.036+0.266j),4.130814401780984e-06j,(0.981+0.002j),(6.485+48.589j),(-0+0.001j),(0.981+0.002j),132.0,699.8,129.5,-15.1,693.9,-8.1,46.9,3.46,True,405,997,303.4,82.4,217.08,41.2
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.036+0.257j),4.27627988138631e-06j,(0.981+0.003j),(6.485+46.937j),(-0+0.001j),(0.981+0.003j),132.0,699.8,129.2,-14.6,694.4,-8.4,47.4,3.46,True,405,997,311.65,82.1,223.11,41.1
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.024+0.234j),4.681409182544531e-06j,(0.981+0.002j),(4.323+42.873j),(-0+0.001j),(0.981+0.002j),132.0,699.8,130.0,-13.2,695.9,-9.2,56.4,2.31,False,405,997,358.84,84.2,256.0,42.1
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.024+0.219j),5.004197952510292e-06j,(0.981+0.002j),(4.323+40.108j),(-0+0.001j),(0.981+0.002j),132.0,699.8,129.5,-12.4,697.2,-9.9,57.5,2.32,False,405,997,379.32,83.8,270.81,41.9
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.018+0.209j),5.256927873195806e-06j,(0.981+0.002j),(3.243+38.178j),(-0+0.001j),(0.981+0.002j),132.0,699.8,130.0,-11.8,698.3,-10.4,66.0,1.74,False,405,997,410.58,85.1,292.52,42.6
Tower Type A2,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.05+0.353j),3.1051707063079695e-06j,(0.981+0.003j),(9.041+64.639j),(-0+0.001j),(0.981+0.003j),132.0,699.8,131.2,-20.0,690.8,-6.1,39.5,4.81,True,495,1224,228.73,82.0,163.61,41.0
Tower Type A2,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.025+0.26j),4.220860170933272e-06j,(0.981+0.002j),(4.521+47.55j),(-0+0.001j),(0.981+0.002j),132.0,699.8,130.6,-14.7,694.3,-8.3,51.3,2.41,False,495,1224,327.21,84.6,233.27,42.3
Tower Type A2,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.025+0.251j),4.37285332025686e-06j,(0.981+0.002j),(4.521+45.898j),(-0+0.001j),(0.981+0.002j),132.0,699.8,130.3,-14.2,694.8,-8.6,51.9,2.42,False,495,1224,336.96,84.4,240.32,42.2
Tower Type A2,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.017+0.231j),4.75810039601443e-06j,(0.981+0.001j),(3.014+42.18j),(-0+0.001j),(0.981+0.001j),132.0,699.8,130.8,-13.0,696.3,-9.4,63.1,1.61,False,495,1224,379.4,85.9,269.94,43.0
Tower Type A2,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.017+0.216j),5.091928776152022e-06j,(0.981+0.001j),(3.014+39.415j),(-0+0.001j),(0.981+0.001j),132.0,699.8,130.4,-12.1,697.7,-10.1,64.2,1.61,False,495,1224,402.52,85.6,286.54,42.8
Tower Type A2,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.012+0.206j),5.32927086771666e-06j,(0.981+0.001j),(2.26+37.659j),(-0+0.001j),(0.981+0.001j),132.0,699.8,130.6,-11.6,698.7,-10.5,74.8,1.21,False,495,1224,429.95,86.6,305.62,43.3
Tower Type B1,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.609+0.425j),2.5838386906892727e-06j,(0.981+0.026j),(110.755+78.663j),(-0+0j),(0.981+0.026j),132.0,699.8,73.2,-44.7,688.7,-3.6,32.7,58.84,True,110,308,38.97,35.4,35.6,17.7
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.305+0.292j),3.7588928284601294e-06j,(0.981+0.019j),(55.378+53.752j),(-0+0.001j),(0.981+0.019j),132.0,699.8,97.3,-21.1,691.7,-6.4,37.9,29.51,True,110,308,78.38,44.1,66.18,22.1
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.305+0.283j),3.878962597219783e-06j,(0.981+0.02j),(55.378+52.11j),(-0+0.001j),(0.981+0.02j),132.0,699.8,96.9,-20.4,692.0,-6.6,38.4,29.52,True,110,308,78.27,43.3,66.43,21.6
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.203+0.249j),4.3988582926442925e-06j,(0.981+0.015j),(36.919+45.811j),(-0+0.001j),(0.981+0.015j),132.0,699.8,108.0,-16.2,694.0,-7.9,43.0,19.71,True,110,308,117.89,51.1,94.17,25.6
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.203+0.234j),4.682677340496768e-06j,(0.981+0.016j),(36.919+43.058j),(-0+0.001j),(0.981+0.016j),132.0,699.8,107.4,-15.1,694.9,-8.4,44.1,19.73,True,110,308,117.56,49.4,94.69,24.7
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.152+0.218j),5.029421686258565e-06j,(0.981+0.013j),(27.689+40.024j),(-0+0.001j),(0.981+0.013j),132.0,699.8,113.3,-13.4,696.5,-9.3,48.1,14.82,True,110,308,157.22,55.3,122.1,27.7
Tower Type B1,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.186+0.387j),2.8327168972285187e-06j,(0.981+0.009j),(33.766+70.949j),(-0+0.001j),(0.981+0.009j),132.0,699.8,116.5,-24.6,689.9,-5.2,34.1,17.96,True,216,636,121.48,64.5,91.24,32.3
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.093+0.273j),4.0155120477312335e-06j,(0.981+0.006j),(16.883+50.015j),(-0+0.001j),(0.981+0.006j),132.0,699.8,122.6,-16.2,693.3,-7.7,40.5,9.01,True,216,636,215.49,71.3,157.97,35.7
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.093+0.264j),4.1528352016030125e-06j,(0.981+0.006j),(16.883+48.363j),(-0+0.001j),(0.981+0.006j),132.0,699.8,122.3,-15.7,693.7,-7.9,41.1,9.01,True,216,636,218.88,70.8,160.7,35.4
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.062+0.237j),4.629686343379485e-06j,(0.981+0.005j),(11.255+43.367j),(-0+0.001j),(0.981+0.005j),132.0,699.8,125.3,-13.7,695.5,-9.0,47.0,6.02,True,216,636,281.05,75.5,203.9,37.7
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.062+0.222j),4.9451414956005e-06j,(0.981+0.005j),(11.255+40.603j),(-0+0.001j),(0.981+0.005j),132.0,699.8,124.8,-12.8,696.7,-9.6,48.1,6.02,True,216,636,292.22,74.5,212.45,37.3
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.046+0.209j),5.254053275215045e-06j,(0.981+0.004j),(8.442+38.209j),(-0+0.001j),(0.981+0.004j),132.0,699.8,126.4,-12.0,698.1,-10.2,53.4,4.52,True,216,636,338.28,77.5,244.34,38.8
Tower Type B1,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.112+0.372j),2.9540938618574357e-06j,(0.981+0.006j),(20.343+67.975j),(-0+0.001j),(0.981+0.006j),132.0,699.8,124.5,-22.1,690.3,-5.6,35.3,10.82,True,299,875,168.95,73.3,123.12,36.7
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.056+0.265j),4.135959044669734e-06j,(0.981+0.004j),(10.172+48.537j),(-0+0.001j),(0.981+0.004j),132.0,699.8,126.9,-15.3,693.8,-8.0,43.1,5.43,True,299,875,271.21,78.2,195.61,39.1
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.056+0.256j),4.2817934801743536e-06j,(0.981+0.004j),(10.172+46.885j),(-0+0.001j),(0.981+0.004j),132.0,699.8,126.6,-14.8,694.3,-8.3,43.6,5.43,True,299,875,277.53,77.8,200.35,38.9
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.037+0.232j),4.735690385091749e-06j,(0.981+0.003j),(6.781+42.385j),(-0+0.001j),(0.981+0.003j),132.0,699.8,128.2,-13.2,696.1,-9.3,50.8,3.63,True,299,875,333.74,80.9,239.48,40.5
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.037+0.217j),5.066272358331339e-06j,(0.981+0.003j),(6.781+39.621j),(-0+0.001j),(0.981+0.003j),132.0,699.8,127.8,-12.3,697.4,-9.9,51.9,3.63,True,299,875,351.04,80.3,252.21,40.1
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.028+0.205j),5.356098298432733e-06j,(0.981+0.003j),(5.086+37.474j),(-0+0.001j),(0.981+0.003j),132.0,699.8,128.6,-11.6,698.7,-10.5,58.5,2.73,False,299,875,390.13,82.3,279.3,41.1
Tower Type B1,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.071+0.357j),3.0709760466122096e-06j,(0.981+0.004j),(12.97+65.367j),(-0+0.001j),(0.981+0.004j),132.0,699.8,128.7,-20.6,690.7,-5.9,37.1,6.9,True,405,997,206.54,78.8,148.64,39.4
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.036+0.258j),4.249172540753887e-06j,(0.981+0.003j),(6.485+47.236j),(-0+0.001j),(0.981+0.003j),132.0,699.8,129.2,-14.7,694.3,-8.3,46.7,3.46,True,405,997,310.12,82.2,221.99,41.1
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.036+0.249j),4.4032488016983794e-06j,(0.981+0.003j),(6.485+45.584j),(-0+0.001j),(0.981+0.003j),132.0,699.8,128.9,-14.2,694.8,-8.6,47.3,3.46,True,405,997,318.79,81.9,228.32,41.0
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.024+0.227j),4.8340046904872875e-06j,(0.981+0.002j),(4.323+41.519j),(-0+0.001j),(0.981+0.002j),132.0,699.8,129.8,-12.8,696.5,-9.5,56.2,2.31,False,405,997,368.56,84.1,263.03,42.0
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.024+0.212j),5.178954999437324e-06j,(0.981+0.002j),(4.323+38.754j),(-0+0.001j),(0.981+0.002j),132.0,699.8,129.3,-12.0,698.0,-10.2,57.4,2.32,False,405,997,390.27,83.6,278.74,41.8
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.018+0.201j),5.450123107753459e-06j,(0.981+0.002j),(3.243+36.825j),(-0+0.001j),(0.981+0.002j),132.0,699.8,129.8,-11.4,699.2,-10.7,65.8,1.74,False,405,997,423.57,85.0,301.87,42.5
Tower Type B1,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.05+0.346j),3.1715784957800177e-06j,(0.981+0.003j),(9.041+63.286j),(-0+0.001j),(0.981+0.003j),132.0,699.8,130.8,-19.6,691.0,-6.2,39.4,4.81,True,495,1224,232.26,81.9,166.2,40.9
